id|customerId|orderDatetime
0|2620|2024-12-26 11:16:16
1|5109|2024-10-19 07:23:21
2|3030|2025-06-04 22:38:44
3|3030|2025-08-15 02:46:44
4|5193|2025-07-11 07:51:54
5|1907|2024-05-01 19:24:20
6|3977|2024-12-19 18:26:47
7|3977|2024-10-20 13:18:45
8|947|2025-06-03 17:48:12
9|524|2024-09-09 13:14:42
10|524|2024-07-31 21:12:37
11|3163|2024-05-08 09:14:04
12|2986|2024-02-24 17:26:55
13|2986|2024-04-02 11:10:53
14|1161|2024-04-20 23:09:33
15|961|2024-11-21 18:01:47
16|434|2024-07-20 10:52:20
17|434|2024-06-05 17:23:41
18|434|2024-04-26 02:48:18
19|434|2024-02-09 14:24:57
20|1954|2024-05-22 05:23:21
21|1954|2024-07-26 07:24:35
22|1954|2024-02-08 04:07:23
23|1629|2024-04-02 11:30:55
24|3709|2025-03-31 17:40:52
25|3794|2024-08-11 18:25:08
26|3794|2024-03-03 19:57:57
27|4918|2024-05-28 17:53:43
28|1394|2024-02-12 09:21:38
29|1394|2025-10-02 16:11:42
30|3145|2025-09-22 12:16:48
31|3145|2025-04-25 12:29:34
32|3145|2024-02-12 21:17:19
33|3145|2024-10-12 10:52:00
34|3145|2024-06-20 14:03:56
35|2712|2025-04-17 12:35:49
36|2169|2024-08-11 23:23:47
37|2169|2024-02-01 18:42:18
38|988|2024-10-15 13:59:12
39|3973|2024-10-20 01:41:41
40|2550|2025-10-17 17:48:47
41|74|2024-09-22 03:23:14
42|74|2024-12-17 21:05:58
43|3507|2024-07-29 09:43:04
44|3507|2025-07-01 01:52:13
45|2587|2025-03-07 21:49:03
46|2587|2025-01-26 21:20:45
47|2587|2025-01-12 12:57:48
48|662|2025-01-05 12:54:31
49|5249|2025-01-10 19:12:21
50|5249|2024-01-13 14:56:31
51|5249|2025-10-13 18:17:17
52|2606|2024-04-03 22:51:50
53|3605|2024-12-07 03:34:10
54|3605|2025-05-04 15:13:30
55|3605|2025-06-23 10:03:03
56|2660|2024-06-29 05:24:54
57|985|2025-07-03 08:50:18
58|985|2024-12-23 19:06:25
59|985|2024-11-25 03:02:00
60|985|2025-01-31 05:46:16
61|4322|2024-04-07 21:05:31
62|1194|2025-06-01 11:12:56
63|1875|2025-01-16 04:35:42
64|2245|2024-11-09 06:06:20
65|1074|2024-12-06 21:09:36
66|1074|2025-10-08 17:12:56
67|1911|2024-01-07 14:29:54
68|1911|2025-07-13 03:09:11
